Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_variabilis_genome_proteins
OG0005295	PSC75334.1, PSC75333.1	XP_005850471.1
OG0005296	PSC67786.1, PSC67785.1	XP_005843212.1
OG0005297	PSC68413.1, PSC68412.1	XP_005843166.1
OG0005298	PSC70228.1	XP_005843025.1, XP_005843539.1
OG0005299	PSC68036.1, PSC69514.1	XP_005843190.1
OG0005300	PSC68028.1	XP_005843207.1
OG0005301	PSC72878.1	XP_005850538.1, XP_005850537.1
OG0005302	PSC71429.1	XP_005850790.1, XP_005850791.1
OG0005303	PSC73526.1, PSC73212.1	XP_005846393.1
OG0005304	PSC70803.1	XP_005842921.1
OG0005305	PSC70820.1, PSC70721.1	XP_005842943.1
OG0005306	PSC73034.1	XP_005850342.1
OG0005307	PSC70740.1, PSC70739.1	XP_005842927.1
OG0005308	PSC70736.1	XP_005842919.1
OG0005309	PSC69647.1	XP_005842959.1
OG0005311	PSC74469.1	XP_005843664.1
OG0005313	PSC70297.1	XP_005844638.1, XP_005844633.1
OG0005314	PSC67220.1, PSC67219.1	XP_005842910.1
OG0005316	PSC69629.1	XP_005847736.1
OG0005317	PSC76640.1	XP_005848144.1, XP_005848143.1
OG0005318	PSC75183.1	XP_005847994.1
OG0005319	PSC76780.1	XP_005848177.1
OG0005320	PSC70164.1	XP_005846734.1
OG0005321	PSC71699.1	XP_005844654.1
OG0005322	PSC71797.1	XP_005844690.1
OG0005323	PSC75369.1	XP_005846716.1
OG0005324	PSC75601.1	XP_005846721.1, XP_005846722.1
OG0005327	PSC76955.1	XP_005848257.1
OG0005329	PSC73801.1	XP_005844988.1
OG0005332	PSC69214.1	XP_005849041.1, XP_005842757.1
OG0005335	PSC71330.1	XP_005844847.1
OG0005336	PSC69295.1	XP_005843282.1
OG0005337	PSC67875.1	XP_005843142.1
OG0005338	PSC69277.1	XP_005843231.1
OG0005339	PSC70034.1	XP_005845934.1
OG0005340	PSC69996.1, PSC69997.1	XP_005845779.1
OG0005341	PSC74690.1	XP_005847608.1
OG0005342	PSC67381.1	XP_005845730.1, XP_005848470.1
OG0005344	PSC69412.1	XP_005847658.1
OG0005345	PSC75873.1	XP_005852146.1
OG0005346	PSC72051.1	XP_005846017.1
OG0005347	PSC67609.1, PSC67608.1	XP_005844997.1
OG0005348	PSC71991.1	XP_005846048.1
OG0005349	PSC73230.1, PSC73281.1	XP_005845006.1
OG0005350	PSC71868.1	XP_005851711.1, XP_005846039.1
OG0005351	PSC67843.1	XP_005846187.1, XP_005847164.1
OG0005352	PSC67659.1, PSC67658.1	XP_005845022.1
OG0005355	PSC71965.1	XP_005846010.1
OG0005356	PSC75497.1, PSC75496.1	XP_005847254.1
OG0005357	PSC76564.1, PSC70952.1	XP_005847311.1
OG0005358	PSC70907.1	XP_005847268.1
OG0005360	PSC75327.1	XP_005847240.1
OG0005361	PSC69852.1	XP_005847459.1
OG0005362	PSC75618.1	XP_005847234.1
OG0005363	PSC70901.1	XP_005847430.1
OG0005365	PSC71551.1	XP_005851541.1
OG0005366	PSC70483.1	XP_005848306.1
OG0005367	PSC70441.1	XP_005848472.1, XP_005849423.1
OG0005368	PSC70428.1	XP_005848284.1
OG0005369	PSC73427.1	XP_005848413.1
OG0005370	PSC70918.1	XP_005848529.1
OG0005371	PSC70345.1	XP_005848248.1
OG0005373	PSC67743.1	XP_005844244.1
OG0005375	PSC73833.1, PSC73834.1	XP_005845073.1
OG0005376	PSC68185.1, PSC68186.1	XP_005845040.1
OG0005377	PSC74227.1	XP_005851915.1, XP_005845656.1
OG0005378	PSC68955.1	XP_005846687.1
OG0005380	PSC73886.1	XP_005844373.1
OG0005381	PSC72382.1, PSC72472.1	XP_005846643.1
OG0005382	PSC73588.1	XP_005843192.1
OG0005383	PSC67772.1	XP_005848275.1
OG0005384	PSC69112.1	XP_005845926.1, XP_005851924.1
OG0005385	PSC75964.1, PSC75965.1	XP_005848655.1
OG0005386	PSC77065.1	XP_005848919.1
OG0005387	PSC75291.1	XP_005848656.1
OG0005388	PSC75977.1	XP_005848961.1
OG0005390	PSC75270.1, PSC75269.1	XP_005845502.1
OG0005393	PSC73607.1	XP_005848805.1, XP_005848806.1
OG0005394	PSC69047.1	XP_005850730.1
OG0005395	PSC71464.1	XP_005850904.1
OG0005396	PSC69081.1, PSC69080.1	XP_005851041.1
OG0005397	PSC73579.1	XP_005845368.1
OG0005398	PSC72647.1	XP_005850955.1
OG0005400	PSC68544.1	XP_005851959.1
OG0005401	PSC72575.1	XP_005850060.1
OG0005402	PSC68105.1	XP_005850152.1
OG0005403	PSC71552.1, PSC71558.1	XP_005850378.1
OG0005404	PSC72391.1, PSC71515.1	XP_005850267.1
OG0005405	PSC69777.1	XP_005850428.1
OG0005406	PSC72400.1	XP_005850026.1
OG0005407	PSC72512.1	XP_005850007.1
OG0005408	PSC76117.1, PSC76118.1	XP_005850025.1
OG0005409	PSC72397.1	XP_005848613.1
OG0005411	PSC72571.1, PSC72570.1	XP_005850039.1
OG0005412	PSC72506.1, PSC72507.1	XP_005850335.1
OG0005413	PSC76935.1, PSC72314.1	XP_005847040.1
OG0005414	PSC72158.1, PSC72159.1	XP_005846903.1
OG0005415	PSC70665.1	XP_005847904.1
OG0005417	PSC72216.1	XP_005847086.1
OG0005418	PSC72343.1, PSC72342.1	XP_005847089.1
OG0005419	PSC71101.1	XP_005842686.1, XP_005847007.1
OG0005420	PSC69516.1	XP_005847932.1
OG0005421	PSC69517.1, PSC69518.1	XP_005848076.1
OG0005422	PSC72223.1, PSC72224.1	XP_005847022.1
OG0005425	PSC73016.1	XP_005842577.1
OG0005426	PSC73557.1, PSC73808.1	XP_005848601.1
OG0005428	PSC75109.1	XP_005845747.1
OG0005429	PSC73087.1	XP_005849134.1, XP_005849133.1
OG0005430	PSC73587.1, PSC73586.1	XP_005847715.1
OG0005431	PSC73063.1, PSC73062.1	XP_005849353.1
OG0005432	PSC69143.1	XP_005849427.1
OG0005433	PSC73552.1	XP_005851550.1
OG0005434	PSC71787.1	XP_005843295.1
OG0005435	PSC76984.1	XP_005849734.1
OG0005436	PSC68903.1	XP_005851479.1, XP_005847637.1
OG0005437	PSC68883.1, PSC68882.1, PSC68880.1	XP_005848119.1
OG0005438	PSC68817.1, PSC67055.1	XP_005851497.1
OG0005440	PSC68262.1, PSC76787.1	XP_005851628.1
OG0005441	PSC75878.1	XP_005851430.1
OG0005442	PSC75491.1	XP_005851113.1
OG0005443	PSC68614.1	XP_005851080.1, XP_005844561.1
OG0005445	PSC75322.1, PSC75323.1	XP_005849848.1
OG0005447	PSC75417.1, PSC75418.1	XP_005849748.1
OG0005448	PSC73355.1	XP_005849943.1
OG0005449	PSC67157.1	XP_005849746.1
OG0005451	PSC69688.1	XP_005846517.1
OG0005452	PSC76722.1, PSC76721.1	XP_005845329.1
OG0005453	PSC76666.1, PSC76665.1	XP_005845347.1
OG0005454	PSC76110.1, PSC76109.1	XP_005845271.1
OG0005456	PSC68915.1	XP_005852208.1
OG0005457	PSC68429.1	XP_005851709.1
OG0005458	PSC75104.1	XP_005851676.1
OG0005461	PSC68531.1	XP_005851965.1
OG0005462	PSC68547.1	XP_005852278.1
OG0005463	PSC75883.1	XP_005851979.1, XP_005851978.1
OG0005464	PSC68171.1, PSC68172.1	XP_005852067.1
OG0005465	PSC67551.1, PSC67550.1	XP_005852206.1
OG0005466	PSC67148.1, PSC68717.1	XP_005852028.1
OG0005467	PSC70823.1, PSC68425.1	XP_005848790.1
OG0005468	PSC74209.1	XP_005851914.1
OG0005469	PSC68513.1	XP_005852290.1
OG0005470	PSC75100.1, PSC75101.1	XP_005851770.1
OG0005471	PSC67150.1, PSC68661.1	XP_005851697.1
OG0005472	PSC67321.1, PSC67320.1, PSC67322.1	XP_005851859.1
OG0005473	PSC73500.1, PSC73501.1	XP_005844376.1
OG0005475	PSC73365.1, PSC73366.1	XP_005844186.1
OG0005476	PSC73395.1	XP_005844452.1
OG0005477	PSC68922.1	XP_005846822.1
OG0005479	PSC74012.1	XP_005843139.1
OG0005480	PSC75666.1, PSC74263.1	XP_005851679.1
OG0005481	PSC74764.1	XP_005843502.1
OG0005482	PSC75746.1	XP_005844440.1
OG0005483	PSC74155.1, PSC74154.1	XP_005845540.1
OG0005484	PSC75072.1, PSC75071.1	XP_005843511.1
OG0005485	PSC74061.1	XP_005845521.1
OG0005486	PSC74782.1, PSC74783.1	XP_005842844.1
OG0005487	PSC74790.1	XP_005851433.1, XP_005843107.1
OG0005488	PSC74051.1	XP_005843503.1
OG0005489	PSC74265.1	XP_005845684.1
OG0005491	PSC74079.1, PSC74078.1	XP_005845597.1
OG0005492	PSC73543.1, PSC73542.1	XP_005844271.1
OG0005493	PSC74005.1	XP_005842573.1, XP_005851032.1
OG0005498	PSC71453.1	XP_005842891.1, XP_005852317.1, XP_005852320.1
OG0005499	PSC73494.1, PSC70647.1	XP_005842987.1, XP_005844404.1
OG0005500	PSC68235.1	XP_005843534.1, XP_005847476.1
OG0005503	PSC76325.1, PSC73765.1	XP_005851371.1, XP_005844372.1, XP_005844370.1
OG0005506	PSC76449.1	XP_005845423.1, XP_005848847.1, XP_005848642.1, XP_005852128.1
OG0005507	PSC75409.1	XP_005848873.1, XP_005845733.1, XP_005848677.1
OG0005508	PSC73046.1	XP_005846138.1, XP_005846136.1
OG0005509	PSC67015.1, PSC69608.1	XP_005846392.1, XP_005846391.1
OG0005510	PSC69846.1	XP_005850094.1, XP_005850095.1, XP_005847341.1
OG0005512	PSC73926.1	XP_005849003.1, XP_005851272.1
OG0005513	PSC69253.1, PSC69252.1	XP_005851007.1, XP_005851008.1
OG0005514	PSC73659.1, PSC73658.1, PSC73657.1	XP_005851247.1
OG0005532	PSC68630.1	XP_005845214.1
OG0005535	PSC76904.1	XP_005846564.1
OG0005538	PSC70053.1	XP_005845922.1
OG0005543	PSC70021.1	XP_005845919.1
OG0005550	PSC74919.1	XP_005845724.1
OG0005556	PSC74696.1	XP_005843110.1
OG0005557	PSC72990.1	XP_005843352.1
OG0005558	PSC73012.1	XP_005843355.1
OG0005562	PSC68242.1	XP_005844016.1
OG0005573	PSC69990.1	XP_005844498.1
OG0005576	PSC67984.1	XP_005844609.1
OG0005578	PSC67983.1	XP_005844608.1
OG0005581	PSC70060.1	XP_005844527.1
OG0005587	PSC69204.1	XP_005844832.1
OG0005589	PSC69264.1	XP_005844830.1
OG0005592	PSC70841.1	XP_005848373.1
OG0005596	PSC68654.1	XP_005844863.1
OG0005598	PSC75263.1	XP_005844395.1
OG0005600	PSC72354.1	XP_005843810.1
OG0005601	PSC67946.1	XP_005849966.1
OG0005608	PSC71307.1	XP_005846735.1
OG0005611	PSC76476.1	XP_005849902.1
OG0005614	PSC76777.1	XP_005849891.1
OG0005620	PSC75860.1	XP_005849690.1
OG0005623	PSC75881.1	XP_005849858.1
OG0005624	PSC76324.1	XP_005849876.1
OG0005626	PSC70623.1	XP_005844205.1
OG0005632	PSC67956.1	XP_005849868.1
OG0005633	PSC73497.1	XP_005847631.1
OG0005634	PSC72127.1	XP_005847033.1
OG0005636	PSC67992.1	XP_005844046.1
OG0005637	PSC68002.1	XP_005849813.1
OG0005640	PSC68000.1	XP_005843807.1
OG0005641	PSC69781.1	XP_005849015.1
OG0005642	PSC69815.1	XP_005848793.1
OG0005644	PSC69770.1	XP_005848785.1
OG0005647	PSC75713.1	XP_005848973.1
OG0005648	PSC71181.1	XP_005843676.1
OG0005650	PSC76158.1	XP_005848920.1
OG0005651	PSC69677.1	XP_005846347.1
OG0005653	PSC72086.1	XP_005846911.1
OG0005659	PSC76227.1	XP_005848907.1
OG0005660	PSC70587.1, PSC70588.1	XP_005846792.1
OG0005661	PSC75405.1	XP_005848881.1
OG0005662	PSC71345.1	XP_005846594.1
OG0005664	PSC76243.1	XP_005848915.1
OG0005666	PSC75708.1	XP_005848648.1
OG0005667	PSC75637.1	XP_005848840.1
OG0005671	PSC73818.1	XP_005848809.1
OG0005675	PSC73624.1	XP_005848804.1
OG0005677	PSC71507.1	XP_005850866.1
OG0005678	PSC71627.1	XP_005850918.1
OG0005679	PSC71162.1	XP_005847004.1
OG0005681	PSC74116.1	XP_005845699.1
OG0005687	PSC72861.1	XP_005850525.1
OG0005690	PSC72848.1	XP_005850816.1
OG0005698	PSC74700.1	XP_005843887.1
OG0005704	PSC70500.1	XP_005849378.1
OG0005705	PSC74444.1	XP_005843890.1
OG0005706	PSC68530.1	XP_005843161.1
OG0005707	PSC69310.1	XP_005846288.1
OG0005710	PSC69560.1	XP_005848105.1
OG0005713	PSC74811.1	XP_005845879.1
OG0005715	PSC69524.1	XP_005847961.1
OG0005716	PSC76690.1	XP_005848188.1
OG0005721	PSC69767.1	XP_005850448.1
OG0005722	PSC72461.1	XP_005850079.1
OG0005731	PSC75408.1	XP_005847402.1
OG0005732	PSC71626.1	XP_005850371.1
OG0005734	PSC71666.1	XP_005850395.1
OG0005735	PSC72554.1	XP_005850057.1
OG0005738	PSC72254.1	XP_005846841.1
OG0005743	PSC72339.1	XP_005847118.1
OG0005745	PSC72636.1	XP_005850656.1
OG0005746	PSC68926.1	XP_005846684.1
OG0005747	PSC68931.1	XP_005846824.1
OG0005749	PSC68193.1	XP_005845043.1
OG0005750	PSC67626.1	XP_005846087.1
OG0005751	PSC71871.1	XP_005846094.1
OG0005756	PSC71976.1	XP_005846029.1
OG0005760	PSC71852.1	XP_005846140.1
OG0005762	PSC75164.1	XP_005852071.1
OG0005769	PSC69283.1	XP_005843248.1
OG0005770	PSC67259.1	XP_005844915.1
OG0005775	PSC70589.1	XP_005843568.1
OG0005777	PSC75506.1	XP_005847374.1
OG0005779	PSC69743.1	XP_005850433.1
OG0005790	PSC70160.1	XP_005844234.1
OG0005792	PSC69749.1	XP_005850464.1
OG0005795	PSC71634.1	XP_005850663.1
OG0005796	PSC69121.1	XP_005847790.1
OG0005797	PSC72917.1	XP_005850957.1
OG0005798	PSC74329.1	XP_005852254.1
OG0005800	PSC72662.1	XP_005850686.1
OG0005805	PSC72628.1	XP_005850696.1
OG0005809	PSC75670.1	XP_005850211.1
OG0005810	PSC71603.1	XP_005850899.1
OG0005811	PSC71571.1	XP_005850902.1
OG0005817	PSC68999.1	XP_005851044.1
OG0005818	PSC73077.1	XP_005849121.1
OG0005822	PSC74996.1	XP_005845855.1
OG0005827	PSC74871.1	XP_005851681.1
OG0005829	PSC75197.1	XP_005851668.1
OG0005830	PSC74969.1	XP_005852083.1
OG0005842	PSC74946.1	XP_005851771.1
OG0005843	PSC74886.1	XP_005851783.1
OG0005848	PSC68170.1	XP_005852062.1
OG0005850	PSC75053.1	XP_005851808.1
OG0005860	PSC67348.1	XP_005851661.1
OG0005862	PSC67337.1	XP_005851981.1
OG0005865	PSC69409.1	XP_005852175.1
OG0005867	PSC72598.1	XP_005850678.1
OG0005869	PSC74080.1	XP_005851919.1
OG0005872	PSC74939.1	XP_005852077.1
OG0005874	PSC70615.1	XP_005844406.1
OG0005876	PSC75146.1	XP_005843507.1
OG0005879	PSC73499.1	XP_005844211.1
OG0005890	PSC73144.1	XP_005849141.1
OG0005895	PSC76105.1	XP_005849277.1
OG0005896	PSC76217.1	XP_005849279.1
OG0005902	PSC74436.1	XP_005850647.1
OG0005904	PSC73098.1	XP_005849406.1
OG0005905	PSC73175.1	XP_005849383.1
OG0005910	PSC69090.1	XP_005849199.1
OG0005914	PSC73169.1	XP_005849364.1
OG0005916	PSC76864.1	XP_005851561.1
OG0005917	PSC69127.1	XP_005848699.1
OG0005918	PSC76343.1	XP_005850056.1
OG0005919	PSC69098.1	XP_005849213.1
OG0005920	PSC67693.1	XP_005843926.1
OG0005922	PSC68761.1	XP_005843927.1
OG0005927	PSC67293.1	XP_005844411.1
OG0005936	PSC74836.1	XP_005852149.1
OG0005938	PSC75862.1	XP_005848860.1
OG0005942	PSC70509.1	XP_005848308.1
OG0005947	PSC68076.1	XP_005848541.1
OG0005949	PSC67542.1	XP_005848401.1
OG0005950	PSC67543.1	XP_005848206.1
OG0005951	PSC67541.1	XP_005848204.1
OG0005954	PSC70394.1	XP_005848498.1
OG0005955	PSC70306.1	XP_005848513.1
OG0005958	PSC70410.1	XP_005848318.1
OG0005959	PSC70449.1	XP_005848330.1
OG0005961	PSC70332.1	XP_005848522.1
OG0005970	PSC67797.1	XP_005848548.1
OG0005973	PSC71830.1	XP_005844762.1
OG0005974	PSC71757.1	XP_005844817.1
OG0005975	PSC71845.1	XP_005844767.1
OG0005977	PSC75815.1	XP_005843799.1
OG0005978	PSC75512.1	XP_005843794.1
OG0005987	PSC71997.1	XP_005849753.1
OG0005988	PSC75624.1	XP_005849493.1
OG0005990	PSC76081.1	XP_005849456.1
OG0005995	PSC71854.1	XP_005849486.1
OG0005996	PSC71920.1	XP_005849755.1
OG0006000	PSC76868.1	XP_005849534.1
OG0006007	PSC68183.1	XP_005849715.1
OG0006008	PSC68228.1	XP_005849713.1
OG0006010	PSC72087.1	XP_005847044.1
OG0006013	PSC68059.1	XP_005848576.1
OG0006020	PSC70991.1	XP_005847287.1
OG0006021	PSC76881.1	XP_005844073.1
OG0006029	PSC70943.1	XP_005847429.1
OG0006032	PSC69897.1	XP_005847513.1
OG0006033	PSC69961.1	XP_005847489.1
OG0006035	PSC69929.1	XP_005847292.1
OG0006040	PSC69954.1	XP_005847462.1
OG0006047	PSC69923.1	XP_005847358.1
OG0006052	PSC70859.1	XP_005847415.1
OG0006053	PSC75309.1	XP_005847237.1
OG0006054	PSC68747.1	XP_005843844.1
OG0006055	PSC68775.1	XP_005843935.1
OG0006056	PSC67503.1	XP_005843901.1
OG0006058	PSC67691.1	XP_005843925.1
OG0006059	PSC67720.1	XP_005843922.1
OG0006071	PSC75827.1	XP_005851400.1
OG0006073	PSC75485.1	XP_005851363.1
OG0006078	PSC75669.1	XP_005851065.1
OG0006081	PSC75368.1	XP_005851442.1
OG0006082	PSC75837.1	XP_005851154.1
OG0006083	PSC75330.1	XP_005851153.1
OG0006084	PSC68855.1	XP_005851451.1
OG0006085	PSC67355.1	XP_005851170.1
OG0006086	PSC68852.1	XP_005851465.1
OG0006087	PSC75220.1	XP_005851206.1
OG0006088	PSC73269.1	XP_005844423.1
OG0006090	PSC68869.1	XP_005851193.1
OG0006091	PSC68267.1	XP_005851212.1
OG0006094	PSC69163.1, PSC69162.1	XP_005849425.1
OG0006096	PSC68295.1	XP_005851222.1
OG0006099	PSC73571.1	XP_005851531.1
OG0006100	PSC73795.1	XP_005851240.1
OG0006103	PSC77021.1	XP_005849656.1
OG0006105	PSC73594.1	XP_005851267.1
OG0006108	PSC73695.1	XP_005851280.1
OG0006118	PSC73626.1	XP_005851540.1
OG0006121	PSC75533.1	XP_005846590.1
OG0006129	PSC71473.1	XP_005850874.1
OG0006131	PSC74358.1	XP_005843593.1
OG0006135	PSC76115.1	XP_005846704.1
OG0006138	PSC74961.1	XP_005849204.1
OG0006143	PSC72427.1	XP_005846793.1
OG0006146	PSC72445.1	XP_005846651.1
OG0006154	PSC72550.1	XP_005850239.1
OG0006155	PSC72333.1	XP_005847021.1
OG0006157	PSC72548.1	XP_005849990.1
OG0006165	PSC72498.1	XP_005850292.1
OG0006173	PSC71237.1	XP_005846552.1
OG0006181	PSC68376.1	XP_005846493.1
OG0006183	PSC68378.1	XP_005846498.1
OG0006187	PSC68338.1	XP_005846313.1
OG0006188	PSC74898.1	XP_005848176.1
OG0006189	PSC71323.1	XP_005846284.1
OG0006194	PSC71406.1	XP_005846434.1
OG0006200	PSC71346.1	XP_005846419.1
OG0006201	PSC76342.1	XP_005845453.1
OG0006203	PSC69814.1	XP_005851092.1
OG0006206	PSC76481.1	XP_005845346.1
OG0006208	PSC76675.1	XP_005845486.1
OG0006210	PSC76170.1	XP_005845355.1
OG0006211	PSC71023.1	XP_005842824.1
OG0006212	PSC71037.1	XP_005845366.1
OG0006215	PSC76292.1	XP_005845407.1
OG0006216	PSC76752.1	XP_005845412.1
OG0006218	PSC76121.1	XP_005845417.1
OG0006222	PSC73035.1	XP_005845250.1
OG0006230	PSC70513.1	XP_005844325.1
OG0006234	PSC74924.1	XP_005843513.1
OG0006237	PSC73502.1	XP_005844181.1
OG0006238	PSC73371.1	XP_005844255.1
OG0006239	PSC73517.1	XP_005844170.1
OG0006241	PSC73724.1	XP_005845178.1
OG0006244	PSC69768.1	XP_005850436.1
OG0006245	PSC69550.1	XP_005848099.1
OG0006246	PSC74131.1	XP_005845658.1
OG0006247	PSC74202.1	XP_005845709.1
OG0006250	PSC75537.1	XP_005846591.1
OG0006251	PSC73597.1	XP_005845082.1
OG0006253	PSC74187.1	XP_005845585.1
OG0006254	PSC73976.1	XP_005845686.1
OG0006255	PSC74241.1	XP_005845690.1
OG0006256	PSC73994.1	XP_005845517.1
OG0006259	PSC74232.1	XP_005845711.1
OG0006261	PSC74068.1	XP_005845578.1
OG0006263	PSC68031.1	XP_005843191.1
OG0006264	PSC74726.1	XP_005849101.1
OG0006265	PSC75255.1	XP_005848899.1
OG0006267	PSC67141.1	XP_005843208.1
OG0006270	PSC68406.1	XP_005843165.1
OG0006271	PSC71692.1	XP_005844814.1
OG0006273	PSC71718.1	XP_005844786.1
OG0006274	PSC71818.1	XP_005844799.1
OG0006277	PSC70810.1	XP_005844050.1
OG0006281	PSC77015.1	XP_005843332.1
OG0006284	PSC76918.1	XP_005843375.1
OG0006286	PSC70695.1	XP_005842928.1
OG0006287	PSC73162.1	XP_005852036.1
OG0006288	PSC70720.1	XP_005842923.1
OG0006289	PSC70747.1	XP_005842954.1
OG0006290	PSC70758.1	XP_005842925.1
OG0006291	PSC76298.1	XP_005844075.1
OG0006292	PSC76558.1	XP_005844078.1
OG0006293	PSC75523.1	XP_005848646.1
OG0006295	PSC71763.1	XP_005844723.1
OG0006296	PSC70657.1	XP_005848061.1
OG0006306	PSC74347.1	XP_005849641.1
OG0006313	PSC74941.1	XP_005847817.1
OG0006318	PSC70444.1	XP_005848287.1
OG0006319	PSC68400.1	XP_005846295.1
OG0006321	PSC70427.1	XP_005848295.1
OG0006325	PSC71169.1	XP_005847155.1
OG0006326	PSC76631.1	XP_005845687.1
OG0006330	PSC71098.1	XP_005847179.1
OG0006331	PSC72116.1	XP_005847100.1
OG0006333	PSC74197.1	XP_005842963.1
OG0006335	PSC71145.1	XP_005847005.1
OG0006336	PSC71202.1	XP_005847208.1
OG0006337	PSC70701.1	XP_005843217.1
OG0006343	PSC69476.1	XP_005848075.1
OG0006345	PSC69474.1	XP_005847970.1
OG0006348	PSC70805.1	XP_005847875.1
OG0006349	PSC70466.1	XP_005848245.1
OG0006351	PSC74564.1	XP_005847750.1
OG0006356	PSC75125.1	XP_005847803.1
OG0006358	PSC70104.1	XP_005845927.1
OG0006359	PSC74468.1	XP_005847752.1
OG0006360	PSC70233.1	XP_005847670.1
OG0006361	PSC70263.1	XP_005847673.1
OG0006365	PSC70203.1	XP_005847689.1
OG0006367	PSC74754.1	XP_005843120.1
OG0006372	PSC74720.1	XP_005843678.1
OG0006374	PSC74639.1	XP_005843731.1
OG0006379	PSC71872.1	XP_005851321.1
OG0006381	PSC75306.1	XP_005850468.1
OG0006382	PSC69757.1	XP_005850203.1
OG0006383	PSC69723.1	XP_005850205.1
OG0006384	PSC69782.1, PSC69819.1	XP_005850207.1
OG0006385	PSC75575.1	XP_005850210.1
OG0006389	PSC67183.1	XP_005843162.1
OG0006390	PSC72702.1	XP_005850796.1
OG0006391	PSC72750.1	XP_005850776.1
OG0006392	PSC72685.1	XP_005850499.1
OG0006393	PSC72873.1	XP_005850781.1
OG0006394	PSC72832.1	XP_005850480.1
OG0006395	PSC73341.1	XP_005846396.1
OG0006396	PSC72881.1	XP_005850503.1
OG0006398	PSC72859.1	XP_005850481.1
OG0006400	PSC67906.1	XP_005844950.1
OG0006401	PSC70734.1	XP_005842951.1
OG0006402	PSC70813.1	XP_005844134.1
OG0006403	PSC70673.1	XP_005842920.1
OG0006404	PSC68815.1, PSC68814.1	XP_005843976.1
OG0006406	PSC70779.1	XP_005842929.1
OG0006407	PSC74707.1	XP_005843663.1
OG0006408	PSC74417.1	XP_005843684.1
OG0006410	PSC74651.1	XP_005843689.1
OG0006412	PSC71568.1	XP_005851743.1
OG0006414	PSC70229.1	XP_005844551.1
OG0006415	PSC70235.1	XP_005844651.1
OG0006416	PSC69998.1	XP_005844580.1
OG0006417	PSC69171.1	XP_005844579.1
OG0006418	PSC70301.1, PSC70477.1	XP_005850972.1
OG0006419	PSC70007.1	XP_005844583.1
OG0006420	PSC68108.1	XP_005844520.1
OG0006422	PSC70124.1	XP_005844497.1
OG0006423	PSC69117.1	XP_005844484.1
OG0006424	PSC70275.1	XP_005844649.1
OG0006426	PSC67978.1	XP_005844603.1
OG0006427	PSC69639.1	XP_005847738.1
OG0006428	PSC69624.1	XP_005847568.1
OG0006430	PSC76685.1, PSC76684.1	XP_005842756.1
OG0006431	PSC67205.1	XP_005842899.1
OG0006432	PSC69627.1	XP_005847566.1
OG0006433	PSC68777.1	XP_005843923.1
OG0006434	PSC71760.1	XP_005843425.1
OG0006436	PSC75204.1	XP_005848003.1
OG0006438	PSC73128.1	XP_005845575.1
OG0006439	PSC69566.1	XP_005847953.1
OG0006440	PSC69487.1	XP_005848121.1
OG0006442	PSC76712.1	XP_005848189.1
OG0006443	PSC76569.1	XP_005848001.1
OG0006444	PSC76193.1	XP_005848182.1
OG0006446	PSC74921.1	XP_005848172.1
OG0006447	PSC76547.1	XP_005848136.1
OG0006448	PSC69567.1	XP_005848133.1
OG0006449	PSC71783.1	XP_005844776.1
OG0006450	PSC71720.1	XP_005844792.1
OG0006451	PSC71690.1	XP_005844761.1
OG0006452	PSC71683.1	XP_005844759.1
OG0006453	PSC71827.1	XP_005844662.1
OG0006454	PSC71739.1	XP_005844717.1
OG0006455	PSC71821.1	XP_005844684.1
OG0006459	PSC70741.1	XP_005842931.1
OG0006461	PSC71680.1	XP_005844715.1
OG0006462	PSC71671.1	XP_005844663.1
OG0006463	PSC71721.1	XP_005842968.1
OG0006464	PSC71793.1	XP_005844749.1
OG0006466	PSC71687.1	XP_005844772.1
OG0006467	PSC71804.1	XP_005844703.1
OG0006468	PSC71754.1	XP_005842932.1
OG0006470	PSC76048.1	XP_005842592.1
OG0006473	PSC73401.1	XP_005846758.1
OG0006474	PSC68680.1	XP_005846597.1
OG0006475	PSC73084.1	XP_005847482.1
OG0006476	PSC76331.1	XP_005842872.1
OG0006477	PSC75678.1	XP_005846585.1
OG0006478	PSC75387.1	XP_005846586.1
OG0006480	PSC68664.1	XP_005846744.1
OG0006481	PSC76402.1	XP_005843043.1
OG0006482	PSC76791.1	XP_005846702.1
OG0006483	PSC73170.1	XP_005843418.1
OG0006485	PSC74847.1, PSC75130.1	XP_005844097.1
OG0006486	PSC73119.1	XP_005844560.1
OG0006487	PSC76064.1	XP_005843365.1
OG0006488	PSC69091.1	XP_005844564.1
OG0006490	PSC71365.1	XP_005843997.1
OG0006491	PSC76359.1	XP_005843360.1
OG0006492	PSC67168.1	XP_005844569.1
OG0006493	PSC72962.1	XP_005843348.1
OG0006494	PSC77058.1	XP_005844072.1
OG0006496	PSC73011.1	XP_005843409.1
OG0006499	PSC71263.1	XP_005844934.1
OG0006500	PSC69194.1	XP_005844929.1
OG0006501	PSC71755.1	XP_005851736.1
OG0006502	PSC68694.1	XP_005844862.1
OG0006503	PSC69216.1	XP_005844836.1
OG0006504	PSC69573.1	XP_005847565.1
OG0006505	PSC69200.1, PSC69199.1	XP_005843291.1
OG0006506	PSC71308.1	XP_005844955.1
OG0006507	PSC69293.1	XP_005843259.1
OG0006508	PSC69297.1	XP_005844825.1
OG0006509	PSC68704.1	XP_005844860.1
