Orthogroup	oneline_c_vulgaris_genome_proteins	oneline_A99_genome_proteins
OG0004688	KAI3436228.1	scaffold3.g6671.t1
OG0004689	KAI3436230.1	scaffold3.g6672.t1
OG0004690	KAI3436229.1	scaffold3.g6673.t1
OG0004691	KAI3436227.1	scaffold3.g6674.t1
OG0004692	KAI3436221.1	scaffold3.g6677.t1
OG0004693	KAI3436215.1	scaffold3.g6680.t1
OG0004694	KAI3436211.1	scaffold3.g6684.t1
OG0004695	KAI3436210.1	scaffold3.g6686.t1
OG0004696	KAI3436209.1	scaffold3.g6687.t1
OG0004697	KAI3436247.1	scaffold3.g6690.t1
OG0004698	KAI3436262.1	scaffold3.g6698.t1
OG0004699	KAI3436266.1	scaffold3.g6699.t1
OG0004700	KAI3436267.1	scaffold3.g6700.t1
OG0004701	KAI3432888.1	scaffold3.g6702.t1
OG0004702	KAI3438231.1	scaffold3.g6704.t1
OG0004703	KAI3436268.1	scaffold3.g6709.t1
OG0004704	KAI3436271.1	scaffold3.g6710.t1
OG0004705	KAI3436272.1	scaffold3.g6711.t1
OG0004706	KAI3436218.1	scaffold3.g6712.t1
OG0004707	KAI3436275.1	scaffold3.g6714.t1
OG0004708	KAI3436280.1	scaffold3.g6716.t1
OG0004709	KAI3436278.1	scaffold3.g6717.t1
OG0004710	KAI3436305.1	scaffold3.g6718.t1
OG0004711	KAI3436309.1	scaffold3.g6719.t1
OG0004712	KAI3436289.1	scaffold3.g6720.t1
OG0004713	KAI3436307.1	scaffold3.g6723.t1
OG0004714	KAI3436308.1	scaffold3.g6724.t1
OG0004715	KAI3436283.1	scaffold3.g6728.t1
OG0004717	KAI3436315.1	scaffold3.g6739.t1
OG0004718	KAI3436314.1	scaffold3.g6740.t1
OG0004719	KAI3436330.1	scaffold3.g6742.t1
OG0004720	KAI3436340.1	scaffold3.g6746.t1
OG0004721	KAI3436325.1	scaffold3.g6748.t1
OG0004722	KAI3436326.1	scaffold3.g6749.t1
OG0004723	KAI3436328.1	scaffold3.g6750.t1
OG0004724	KAI3436292.1	scaffold3.g6754.t1
OG0004725	KAI3436290.1	scaffold3.g6755.t1
OG0004726	KAI3436319.1	scaffold3.g6757.t1
OG0004727	KAI3436318.1	scaffold3.g6758.t1
OG0004728	KAI3436313.1	scaffold3.g6760.t1
OG0004729	KAI3436312.1	scaffold3.g6761.t1
OG0004730	KAI3436321.1	scaffold3.g6763.t1
OG0004731	KAI3436371.1	scaffold3.g6764.t1
OG0004732	KAI3436374.1	scaffold3.g6770.t1
OG0004733	KAI3432463.1	scaffold3.g6771.t1
OG0004734	KAI3432884.1	scaffold2.g6773.t1
OG0004735	KAI3432455.1	scaffold2.g6779.t1
OG0004736	KAI3432456.1	scaffold2.g6780.t1
OG0004738	KAI3432686.1	scaffold2.g6783.t1
OG0004739	KAI3432277.1	scaffold2.g6785.t1
OG0004740	KAI3432800.1	scaffold2.g6786.t1
OG0004741	KAI3432299.1	scaffold2.g6793.t1
OG0004742	KAI3432355.1	scaffold2.g6797.t1
OG0004743	KAI3427093.1	scaffold2.g6799.t1
OG0004744	KAI3432668.1	scaffold2.g6801.t1
OG0004745	KAI3432667.1	scaffold2.g6802.t1
OG0004746	KAI3432325.1	scaffold2.g6804.t1
OG0004747	KAI3432866.1	scaffold2.g6806.t1
OG0004748	KAI3432659.1	scaffold2.g6809.t1
OG0004749	KAI3432861.1	scaffold2.g6810.t1
OG0004750	KAI3432397.1	scaffold2.g6819.t1
OG0004751	KAI3432860.1	scaffold2.g6820.t1
OG0004752	KAI3432859.1	scaffold2.g6821.t1
OG0004753	KAI3432267.1	scaffold2.g6824.t1
OG0004754	KAI3432263.1	scaffold2.g6828.t1
OG0004755	KAI3432262.1	scaffold2.g6829.t1
OG0004756	KAI3432307.1	scaffold2.g6835.t1
OG0004757	KAI3432306.1	scaffold2.g6839.t1
OG0004758	KAI3432680.1	scaffold2.g6840.t1
OG0004759	KAI3428683.1	scaffold2.g6842.t1
OG0004760	KAI3428693.1	scaffold2.g6846.t1
OG0004761	KAI3428694.1	scaffold2.g6847.t1
OG0004762	KAI3432390.1	scaffold2.g6848.t1
OG0004763	KAI3428690.1	scaffold2.g6851.t1
OG0004764	KAI3438274.1	scaffold2.g6852.t1
OG0004765	KAI3428689.1	scaffold2.g6854.t1
OG0004766	KAI3438282.1	scaffold2.g6855.t1
OG0004767	KAI3438276.1	scaffold2.g6856.t1
OG0004768	KAI3424830.1	scaffold2.g6859.t1
OG0004769	KAI3438187.1	scaffold2.g6861.t1
OG0004770	KAI3432376.1	scaffold2.g6863.t1
OG0004771	KAI3428663.1	scaffold2.g6865.t1
OG0004772	KAI3432377.1	scaffold2.g6866.t1
OG0004773	KAI3432614.1	scaffold2.g6871.t1
OG0004774	KAI3428707.1	scaffold2.g6873.t1
OG0004775	KAI3424261.1	scaffold2.g6874.t1
OG0004776	KAI3424260.1	scaffold2.g6875.t1
OG0004777	KAI3437999.1	scaffold2.g6876.t1
OG0004778	KAI3424264.1	scaffold2.g6877.t1
OG0004779	KAI3424268.1	scaffold2.g6878.t1
OG0004780	KAI3424262.1	scaffold2.g6880.t1
OG0004781	KAI3424269.1	scaffold2.g6881.t1
OG0004782	KAI3424274.1	scaffold2.g6884.t1
OG0004783	KAI3424273.1	scaffold2.g6885.t1
OG0004784	KAI3428338.1	scaffold2.g6891.t1
OG0004786	KAI3424256.1	scaffold2.g6895.t1
OG0004787	KAI3437776.1	scaffold2.g6909.t1
OG0004788	KAI3424141.1	scaffold2.g6914.t1
OG0004789	KAI3424138.1	scaffold2.g6916.t1
OG0004790	KAI3424859.1	scaffold2.g6920.t1
OG0004791	KAI3424128.1	scaffold2.g6925.t1
OG0004792	KAI3433692.1	scaffold2.g6929.t1
OG0004793	KAI3424121.1	scaffold2.g6930.t1
OG0004794	KAI3424122.1	scaffold2.g6931.t1
OG0004795	KAI3424133.1	scaffold2.g6933.t1
OG0004796	KAI3424112.1	scaffold2.g6934.t1
OG0004797	KAI3424113.1	scaffold2.g6935.t1
OG0004798	KAI3424114.1	scaffold2.g6936.t1
OG0004799	KAI3424105.1	scaffold2.g6942.t1
OG0004800	KAI3424228.1	scaffold2.g6944.t1
OG0004801	KAI3424159.1	scaffold2.g6948.t1
OG0004802	KAI3428499.1	scaffold2.g6951.t1
OG0004803	KAI3424166.1	scaffold2.g6953.t1
OG0004804	KAI3424165.1	scaffold2.g6954.t1
OG0004805	KAI3424237.1	scaffold2.g6956.t1
OG0004806	KAI3424238.1	scaffold2.g6957.t1
OG0004807	KAI3424225.1	scaffold2.g6959.t1
OG0004808	KAI3423866.1	scaffold2.g6970.t1
OG0004809	KAI3424218.1	scaffold2.g6972.t1
OG0004810	KAI3425373.1	scaffold2.g6973.t1
OG0004811	KAI3424220.1	scaffold2.g6974.t1
OG0004812	KAI3424054.1	scaffold2.g6983.t1
OG0004813	KAI3427998.1	scaffold2.g6986.t1
OG0004814	KAI3424072.1	scaffold2.g6987.t1
OG0004815	KAI3424078.1	scaffold2.g6991.t1
OG0004816	KAI3424077.1	scaffold2.g6992.t1
OG0004817	KAI3424065.1	scaffold2.g6998.t1
OG0004818	KAI3424064.1	scaffold2.g6999.t1
OG0004819	KAI3424063.1	scaffold2.g7000.t1
OG0004820	KAI3424102.1	scaffold2.g7006.t1
OG0004821	KAI3423425.1	scaffold2.g7008.t1
OG0004822	KAI3423424.1	scaffold2.g7009.t1
OG0004823	KAI3424174.1	scaffold2.g7012.t1
OG0004824	KAI3429712.1	scaffold2.g7022.t1
OG0004825	KAI3423421.1	scaffold2.g7025.t1
OG0004826	KAI3423422.1	scaffold2.g7026.t1
OG0004827	KAI3428346.1	scaffold2.g7029.t1
OG0004828	KAI3424200.1	scaffold2.g7034.t1
OG0004829	KAI3424206.1	scaffold2.g7037.t1
OG0004830	KAI3424204.1	scaffold2.g7042.t1
OG0004831	KAI3424214.1	scaffold2.g7045.t1
OG0004832	KAI3431403.1	scaffold2.g7049.t1
OG0004833	KAI3424198.1	scaffold2.g7051.t1
OG0004834	KAI3424203.1	scaffold2.g7052.t1
OG0004835	KAI3433602.1	scaffold2.g7054.t1
OG0004836	KAI3423428.1	scaffold2.g7057.t1
OG0004837	KAI3432761.1	scaffold2.g7059.t1
OG0004838	KAI3427301.1	scaffold2.g7060.t1
OG0004839	KAI3427308.1, KAI3427306.1	scaffold2.g7063.t1
OG0004840	KAI3427145.1	scaffold2.g7070.t1
OG0004841	KAI3427138.1	scaffold2.g7072.t1
OG0004842	KAI3433592.1	scaffold2.g7073.t1
OG0004843	KAI3427151.1	scaffold2.g7075.t1
OG0004844	KAI3427312.1	scaffold2.g7083.t1
OG0004845	KAI3427359.1	scaffold2.g7084.t1
OG0004846	KAI3427355.1	scaffold2.g7085.t1
OG0004847	KAI3434840.1	scaffold2.g7088.t1
OG0004848	KAI3427227.1	scaffold2.g7096.t1
OG0004849	KAI3427221.1	scaffold2.g7099.t1
OG0004850	KAI3427211.1	scaffold2.g7102.t1
OG0004851	KAI3427210.1	scaffold2.g7104.t1
OG0004852	KAI3427149.1	scaffold2.g7108.t1
OG0004853	KAI3427226.1	scaffold2.g7113.t1
OG0004854	KAI3427219.1	scaffold2.g7119.t1
OG0004855	KAI3427435.1	scaffold2.g7138.t1
OG0004856	KAI3428327.1	scaffold2.g7140.t1
OG0004857	KAI3427200.1	scaffold2.g7142.t1
OG0004858	KAI3425235.1	scaffold2.g7144.t1
OG0004859	KAI3427415.1	scaffold2.g7145.t1
OG0004860	KAI3427261.1	scaffold2.g7146.t1
OG0004861	KAI3427262.1	scaffold2.g7147.t1
OG0004862	KAI3430972.1	scaffold2.g7150.t1
OG0004863	KAI3430977.1	scaffold2.g7151.t1
OG0004864	KAI3430889.1	scaffold2.g7153.t1
OG0004865	KAI3430861.1	scaffold2.g7154.t1
OG0004866	KAI3430848.1	scaffold2.g7156.t1
OG0004867	KAI3430838.1	scaffold2.g7157.t1
OG0004868	KAI3433932.1	scaffold2.g7160.t1
OG0004869	KAI3430855.1	scaffold2.g7164.t1
OG0004870	KAI3430832.1	scaffold2.g7169.t1
OG0004871	KAI3430847.1, KAI3430846.1	scaffold2.g7175.t1
OG0004872	KAI3430820.1	scaffold2.g7179.t1
OG0004873	KAI3430691.1	scaffold2.g7187.t1
OG0004874	KAI3430470.1	scaffold2.g7195.t1
OG0004875	KAI3430471.1	scaffold2.g7196.t1
OG0004876	KAI3430402.1	scaffold2.g7200.t1
OG0004877	KAI3430892.1	scaffold2.g7202.t1
OG0004878	KAI3430898.1	scaffold2.g7210.t1
OG0004879	KAI3430899.1	scaffold2.g7211.t1
OG0004880	KAI3430901.1	scaffold2.g7214.t1
OG0004881	KAI3430476.1	scaffold2.g7221.t1
OG0004882	KAI3430523.1	scaffold2.g7222.t1
OG0004883	KAI3430524.1	scaffold2.g7223.t1
OG0004884	KAI3430531.1	scaffold2.g7225.t1
OG0004885	KAI3430534.1	scaffold2.g7226.t1
OG0004886	KAI3430907.1	scaffold2.g7228.t1
OG0004887	KAI3430908.1	scaffold2.g7229.t1
OG0004888	KAI3430981.1	scaffold2.g7231.t1
OG0004889	KAI3430980.1	scaffold2.g7232.t1
OG0004890	KAI3424842.1	scaffold2.g7239.t1
OG0004891	KAI3430485.1	scaffold2.g7241.t1
OG0004892	KAI3430487.1	scaffold2.g7242.t1
OG0004893	KAI3430488.1	scaffold2.g7243.t1
OG0004894	KAI3430484.1	scaffold2.g7246.t1
OG0004895	KAI3430500.1	scaffold2.g7256.t1
OG0004896	KAI3430499.1	scaffold2.g7257.t1
OG0004897	KAI3430498.1	scaffold2.g7258.t1
OG0004898	KAI3430493.1	scaffold2.g7260.t1
OG0004899	KAI3430495.1	scaffold2.g7262.t1
OG0004900	KAI3430507.1	scaffold2.g7264.t1
OG0004901	KAI3438154.1	scaffold2.g7267.t1
OG0004902	KAI3430517.1	scaffold2.g7269.t1
OG0004903	KAI3430518.1	scaffold2.g7270.t1
OG0004904	KAI3430506.1	scaffold2.g7274.t1
OG0004905	KAI3430505.1	scaffold2.g7277.t1
OG0004906	KAI3430878.1	scaffold2.g7282.t1
OG0004907	KAI3424811.1	scaffold2.g7283.t1
OG0004908	KAI3424809.1	scaffold2.g7284.t1
OG0004909	KAI3424808.1	scaffold2.g7285.t1
OG0004910	KAI3430723.1	scaffold2.g7298.t1
OG0004911	KAI3430554.1	scaffold2.g7303.t1
OG0004912	KAI3430556.1	scaffold2.g7308.t1
OG0004913	KAI3430550.1	scaffold2.g7310.t1
OG0004914	KAI3430548.1	scaffold2.g7313.t1
OG0004915	KAI3430549.1	scaffold2.g7314.t1
OG0004916	KAI3430545.1	scaffold2.g7316.t1
OG0004917	KAI3430542.1	scaffold2.g7317.t1
OG0004918	KAI3430537.1	scaffold2.g7318.t1
OG0004919	KAI3430540.1	scaffold2.g7319.t1
OG0004920	KAI3430477.1	scaffold2.g7321.t1
OG0004921	KAI3430727.1	scaffold2.g7326.t1
OG0004922	KAI3430703.1	scaffold2.g7331.t1
OG0004923	KAI3430999.1	scaffold2.g7336.t1
OG0004924	KAI3431004.1	scaffold2.g7340.t1
OG0004925	KAI3431003.1	scaffold2.g7341.t1
OG0004926	KAI3430699.1	scaffold2.g7342.t1
OG0004927	KAI3430711.1	scaffold2.g7349.t1
OG0004928	KAI3430718.1	scaffold2.g7353.t1
OG0004929	KAI3430712.1	scaffold2.g7354.t1
OG0004930	KAI3438241.1	scaffold2.g7355.t1
OG0004931	KAI3433524.1	scaffold2.g7358.t1
OG0004932	KAI3430573.1	scaffold2.g7363.t1
OG0004933	KAI3430572.1	scaffold2.g7364.t1
OG0004934	KAI3430569.1	scaffold2.g7365.t1
OG0004935	KAI3427944.1	scaffold2.g7366.t1
OG0004936	KAI3430578.1	scaffold2.g7370.t1
OG0004937	KAI3430584.1	scaffold2.g7378.t1
OG0004938	KAI3426284.1	scaffold2.g7384.t1
OG0004939	KAI3426263.1, KAI3426266.1	scaffold2.g7386.t1
OG0004940	KAI3426251.1	scaffold2.g7387.t1
OG0004941	KAI3426304.1	scaffold2.g7396.t1
OG0004942	KAI3426305.1	scaffold2.g7399.t1
OG0004943	KAI3426306.1	scaffold2.g7400.t1
OG0004944	KAI3426314.1	scaffold2.g7407.t1
OG0004945	KAI3426310.1	scaffold2.g7408.t1
OG0004946	KAI3426319.1	scaffold2.g7410.t1
OG0004947	KAI3426241.1	scaffold2.g7411.t1
OG0004948	KAI3426239.1	scaffold2.g7412.t1
OG0004949	KAI3426256.1	scaffold2.g7416.t1
OG0004950	KAI3426257.1	scaffold2.g7417.t1
OG0004951	KAI3426244.1	scaffold2.g7419.t1
OG0004952	KAI3426327.1	scaffold2.g7421.t1
OG0004953	KAI3426476.1	scaffold2.g7426.t1
OG0004954	KAI3426465.1	scaffold2.g7429.t1
OG0004955	KAI3426333.1	scaffold2.g7436.t1
OG0004956	KAI3426462.1	scaffold2.g7437.t1
OG0004957	KAI3426463.1	scaffold2.g7438.t1
OG0004958	KAI3426477.1	scaffold2.g7443.t1
OG0004959	KAI3429636.1	scaffold2.g7453.t1
OG0004960	KAI3426481.1	scaffold2.g7457.t1
OG0004961	KAI3426511.1	scaffold2.g7459.t1
OG0004962	KAI3426510.1	scaffold2.g7460.t1
OG0004963	KAI3426507.1	scaffold2.g7462.t1
OG0004965	KAI3426505.1	scaffold2.g7464.t1
OG0004966	KAI3426484.1	scaffold2.g7469.t1
OG0004967	KAI3426489.1	scaffold2.g7473.t1
OG0004968	KAI3426494.1	scaffold2.g7476.t1
OG0004969	KAI3426492.1	scaffold2.g7477.t1
OG0004970	KAI3426491.1	scaffold2.g7478.t1
OG0004971	KAI3426503.1	scaffold2.g7480.t1
OG0004972	KAI3426085.1	scaffold2.g7487.t1
OG0004973	KAI3426076.1	scaffold2.g7490.t1
OG0004974	KAI3426077.1	scaffold2.g7491.t1
OG0004975	KAI3424726.1	scaffold2.g7495.t1
OG0004976	KAI3425917.1	scaffold2.g7498.t1
OG0004977	KAI3423435.1	scaffold2.g7510.t1
OG0004978	KAI3425989.1	scaffold2.g7513.t1
OG0004979	KAI3425988.1	scaffold2.g7514.t1
OG0004980	KAI3425987.1	scaffold2.g7516.t1
OG0004981	KAI3426067.1	scaffold2.g7518.t1
OG0004982	KAI3426072.1	scaffold2.g7520.t1
OG0004983	KAI3426071.1	scaffold2.g7521.t1
OG0004984	KAI3426070.1	scaffold2.g7522.t1
OG0004985	KAI3426069.1	scaffold2.g7523.t1
OG0004986	KAI3426089.1	scaffold2.g7525.t1
OG0004987	KAI3426090.1	scaffold2.g7526.t1
OG0004988	KAI3426073.1	scaffold2.g7527.t1
OG0004989	KAI3426094.1	scaffold2.g7528.t1
OG0004990	KAI3426096.1	scaffold2.g7529.t1
OG0004991	KAI3426099.1	scaffold2.g7532.t1
OG0004992	KAI3426088.1	scaffold2.g7535.t1
OG0004993	KAI3432662.1	scaffold28.g7539.t1
OG0004994	KAI3426264.1	scaffold28.g7546.t1
OG0004995	KAI3426265.1	scaffold28.g7547.t1
OG0004996	KAI3426270.1	scaffold28.g7550.t1, scaffold28.g7551.t1
OG0004997	KAI3435664.1	scaffold28.g7552.t1
OG0004998	KAI3426295.1	scaffold28.g7556.t1
OG0004999	KAI3426294.1	scaffold28.g7557.t1
OG0005000	KAI3426291.1	scaffold28.g7558.t1
OG0005001	KAI3426300.1	scaffold28.g7562.t1
OG0005002	KAI3426302.1	scaffold28.g7565.t1
OG0005003	KAI3426323.1	scaffold28.g7568.t1
OG0005004	KAI3426253.1	scaffold28.g7574.t1
OG0005005	KAI3426232.1	scaffold28.g7577.t1
OG0005006	KAI3426231.1	scaffold28.g7579.t1
OG0005007	KAI3426225.1	scaffold28.g7587.t1
OG0005008	KAI3426226.1	scaffold28.g7588.t1
OG0005009	KAI3426227.1	scaffold28.g7589.t1
OG0005010	KAI3426221.1	scaffold28.g7594.t1
OG0005011	KAI3426220.1	scaffold28.g7596.t1
OG0005012	KAI3426219.1	scaffold28.g7597.t1
OG0005013	KAI3426218.1	scaffold28.g7598.t1
OG0005014	KAI3426217.1	scaffold28.g7599.t1
OG0005015	KAI3426215.1	scaffold28.g7600.t1
OG0005016	KAI3426127.1	scaffold28.g7601.t1
OG0005017	KAI3438074.1	scaffold20.g7603.t1
OG0005018	KAI3438062.1	scaffold20.g7609.t1
OG0005019	KAI3438066.1	scaffold20.g7612.t1
OG0005020	KAI3438063.1	scaffold20.g7614.t1
OG0005021	KAI3438061.1	scaffold20.g7617.t1
OG0005022	KAI3438060.1	scaffold20.g7618.t1
OG0005023	KAI3438058.1	scaffold20.g7621.t1
OG0005024	KAI3438059.1	scaffold20.g7622.t1
OG0005025	KAI3438055.1	scaffold20.g7623.t1
OG0005026	KAI3438053.1	scaffold20.g7626.t1
OG0005027	KAI3438049.1	scaffold20.g7627.t1
OG0005028	KAI3438050.1	scaffold20.g7630.t1
OG0005029	KAI3438047.1	scaffold20.g7632.t1
OG0005030	KAI3428161.1, KAI3428160.1, KAI3428159.1	scaffold20.g7635.t1
OG0005031	KAI3438045.1	scaffold20.g7636.t1
OG0005032	KAI3438044.1	scaffold20.g7637.t1
OG0005033	KAI3438041.1	scaffold20.g7640.t1
OG0005034	KAI3438040.1	scaffold20.g7642.t1
OG0005035	KAI3438010.1	scaffold20.g7644.t1
OG0005036	KAI3438009.1	scaffold20.g7645.t1
OG0005037	KAI3438011.1	scaffold20.g7647.t1
OG0005038	KAI3438013.1	scaffold20.g7649.t1
OG0005039	KAI3438020.1	scaffold20.g7660.t1
OG0005040	KAI3438034.1	scaffold20.g7666.t1
OG0005041	KAI3438035.1	scaffold20.g7669.t1
OG0005042	KAI3431630.1	scaffold20.g7671.t1
OG0005043	KAI3433697.1	scaffold20.g7673.t1
OG0005044	KAI3438038.1	scaffold20.g7675.t1
OG0005045	KAI3438008.1	scaffold20.g7677.t1
OG0005046	KAI3438003.1	scaffold20.g7682.t1
OG0005047	KAI3438000.1	scaffold20.g7683.t1
OG0005048	KAI3438002.1	scaffold20.g7684.t1
OG0005049	KAI3437997.1	scaffold20.g7686.t1
OG0005050	KAI3437996.1	scaffold20.g7687.t1
OG0005051	KAI3437995.1	scaffold20.g7688.t1
OG0005052	KAI3430231.1	scaffold20.g7690.t1
OG0005053	KAI3437986.1	scaffold20.g7691.t1
OG0005054	KAI3437982.1	scaffold20.g7692.t1
OG0005055	KAI3437981.1	scaffold20.g7693.t1
OG0005056	KAI3438146.1	scaffold20.g7701.t1
OG0005057	KAI3438145.1	scaffold20.g7702.t1
OG0005058	KAI3438144.1	scaffold20.g7703.t1
OG0005059	KAI3438135.1	scaffold20.g7705.t1
OG0005060	KAI3438136.1	scaffold20.g7706.t1
OG0005061	KAI3435009.1	scaffold20.g7708.t1
OG0005062	KAI3428703.1	scaffold20.g7709.t1
OG0005063	KAI3438140.1	scaffold20.g7712.t1
OG0005064	KAI3438143.1	scaffold20.g7713.t1
OG0005065	KAI3438126.1	scaffold20.g7715.t1
OG0005066	KAI3438125.1	scaffold20.g7716.t1
OG0005067	KAI3438127.1	scaffold20.g7718.t1
OG0005068	KAI3438128.1	scaffold20.g7719.t1
OG0005069	KAI3438129.1	scaffold20.g7720.t1
OG0005070	KAI3438124.1	scaffold20.g7723.t1
OG0005071	KAI3438196.1	scaffold20.g7727.t1
OG0005072	KAI3438195.1	scaffold20.g7728.t1
OG0005073	KAI3438198.1	scaffold20.g7729.t1
OG0005074	KAI3432813.1	scaffold20.g7730.t1
OG0005075	KAI3437931.1	scaffold20.g7737.t1
OG0005076	KAI3437929.1	scaffold20.g7741.t1
OG0005077	KAI3437922.1	scaffold20.g7745.t1
OG0005078	KAI3437921.1	scaffold20.g7746.t1
OG0005079	KAI3437948.1	scaffold20.g7750.t1
OG0005080	KAI3437951.1	scaffold20.g7752.t1
OG0005082	KAI3437959.1	scaffold20.g7761.t1
OG0005083	KAI3437960.1	scaffold20.g7762.t1
OG0005084	KAI3437962.1	scaffold20.g7764.t1
OG0005085	KAI3437965.1	scaffold20.g7768.t1
OG0005086	KAI3438199.1	scaffold20.g7773.t1
OG0005087	KAI3438736.1	scaffold20.g7779.t1
OG0005088	KAI3437708.1	scaffold20.g7781.t1
OG0005089	KAI3437662.1	scaffold20.g7785.t1
OG0005090	KAI3437870.1	scaffold20.g7787.t1
OG0005091	KAI3437862.1	scaffold20.g7789.t1
OG0005092	KAI3437852.1	scaffold20.g7790.t1
OG0005093	KAI3437872.1	scaffold20.g7792.t1
OG0005094	KAI3437873.1	scaffold20.g7794.t1
OG0005095	KAI3437887.1	scaffold20.g7797.t1
OG0005096	KAI3437888.1	scaffold20.g7798.t1
OG0005097	KAI3437889.1	scaffold20.g7799.t1
OG0005098	KAI3437703.1	scaffold20.g7801.t1
OG0005099	KAI3437820.1	scaffold20.g7802.t1
OG0005100	KAI3437822.1, KAI3437821.1	scaffold20.g7803.t1
OG0005101	KAI3437613.1	scaffold20.g7805.t1
OG0005102	KAI3437614.1	scaffold20.g7806.t1
OG0005103	KAI3437938.1	scaffold20.g7807.t1
OG0005104	KAI3437659.1	scaffold20.g7811.t1
OG0005105	KAI3437840.1	scaffold20.g7812.t1
OG0005106	KAI3437665.1	scaffold20.g7813.t1
OG0005107	KAI3437841.1	scaffold20.g7814.t1
OG0005108	KAI3437601.1	scaffold20.g7815.t1
OG0005109	KAI3437713.1	scaffold20.g7818.t1
OG0005110	KAI3429706.1	scaffold20.g7820.t1
OG0005111	KAI3437857.1	scaffold20.g7821.t1
OG0005112	KAI3428717.1	scaffold20.g7823.t1
OG0005113	KAI3437640.1	scaffold20.g7826.t1
OG0005114	KAI3437658.1	scaffold20.g7828.t1
OG0005115	KAI3437850.1	scaffold20.g7831.t1
OG0005116	KAI3437851.1	scaffold20.g7832.t1
OG0005117	KAI3437855.1	scaffold20.g7833.t1
OG0005118	KAI3437854.1	scaffold20.g7837.t1
OG0005119	KAI3437867.1	scaffold20.g7838.t1
OG0005120	KAI3437844.1	scaffold20.g7842.t1
OG0005121	KAI3437843.1	scaffold20.g7843.t1
OG0005122	KAI3437827.1	scaffold20.g7848.t1
OG0005123	KAI3437719.1	scaffold20.g7849.t1
OG0005124	KAI3437838.1	scaffold20.g7855.t1
OG0005125	KAI3437666.1	scaffold20.g7857.t1
OG0005127	KAI3437864.1	scaffold20.g7861.t1
OG0005128	KAI3437681.1	scaffold20.g7866.t1
OG0005129	KAI3437673.1	scaffold20.g7868.t1
OG0005130	KAI3438166.1	scaffold20.g7872.t1
OG0005131	KAI3438167.1	scaffold20.g7873.t1
OG0005132	KAI3437891.1	scaffold20.g7878.t1
OG0005133	KAI3437895.1	scaffold20.g7879.t1
OG0005134	KAI3437893.1	scaffold20.g7881.t1
OG0005135	KAI3437898.1	scaffold20.g7883.t1
OG0005136	KAI3437899.1	scaffold20.g7885.t1
OG0005137	KAI3437901.1	scaffold20.g7887.t1
OG0005138	KAI3437902.1	scaffold20.g7888.t1
OG0005139	KAI3437903.1	scaffold20.g7889.t1
OG0005140	KAI3437904.1	scaffold20.g7891.t1
OG0005141	KAI3437907.1	scaffold20.g7892.t1
OG0005142	KAI3437878.1	scaffold20.g7896.t1
OG0005143	KAI3437886.1	scaffold20.g7898.t1
OG0005144	KAI3437884.1	scaffold20.g7899.t1
OG0005145	KAI3425710.1	scaffold12.g7901.t1
OG0005146	KAI3425713.1	scaffold12.g7902.t1
OG0005147	KAI3425696.1	scaffold12.g7905.t1
OG0005148	KAI3425708.1	scaffold12.g7907.t1
OG0005149	KAI3425852.1	scaffold12.g7911.t1
OG0005150	KAI3425895.1	scaffold12.g7913.t1
OG0005151	KAI3425893.1	scaffold12.g7916.t1
OG0005152	KAI3425891.1	scaffold12.g7921.t1
OG0005153	KAI3425889.1	scaffold12.g7922.t1
OG0005154	KAI3425722.1	scaffold12.g7923.t1
OG0005155	KAI3425876.1	scaffold12.g7929.t1
OG0005156	KAI3425881.1	scaffold12.g7932.t1
OG0005157	KAI3425880.1	scaffold12.g7933.t1
OG0005158	KAI3425739.1	scaffold12.g7935.t1
OG0005159	KAI3425806.1	scaffold12.g7943.t1
OG0005160	KAI3425786.1	scaffold12.g7944.t1
OG0005161	KAI3425766.1	scaffold12.g7948.t1
OG0005162	KAI3425757.1	scaffold12.g7949.t1
OG0005163	KAI3425758.1	scaffold12.g7952.t1
OG0005164	KAI3425754.1	scaffold12.g7959.t1
OG0005165	KAI3425752.1	scaffold12.g7960.t1
OG0005166	KAI3425777.1	scaffold12.g7962.t1
OG0005167	KAI3425765.1	scaffold12.g7966.t1
OG0005168	KAI3425763.1	scaffold12.g7967.t1
OG0005169	KAI3425730.1	scaffold12.g7971.t1
OG0005170	KAI3425743.1	scaffold12.g7974.t1
OG0005171	KAI3425744.1	scaffold12.g7975.t1
OG0005172	KAI3425799.1	scaffold12.g7978.t1
OG0005173	KAI3425795.1	scaffold12.g7979.t1
OG0005174	KAI3425791.1	scaffold12.g7980.t1
OG0005175	KAI3425853.1	scaffold12.g7985.t1
OG0005176	KAI3425857.1	scaffold12.g7987.t1
OG0005177	KAI3432253.1	scaffold12.g7988.t1
OG0005178	KAI3425864.1	scaffold12.g7989.t1
OG0005179	KAI3425855.1	scaffold12.g7990.t1
OG0005180	KAI3425858.1	scaffold12.g7993.t1
OG0005181	KAI3425862.1	scaffold12.g7995.t1
OG0005182	KAI3425728.1	scaffold12.g7998.t1
OG0005183	KAI3425872.1	scaffold12.g7999.t1
OG0005184	KAI3425945.1	scaffold12.g8003.t1
OG0005185	KAI3425927.1	scaffold12.g8007.t1
OG0005186	KAI3425953.1	scaffold12.g8008.t1
OG0005187	KAI3425948.1	scaffold12.g8009.t1
OG0005188	KAI3425898.1	scaffold12.g8011.t1
OG0005189	KAI3425900.1	scaffold12.g8014.t1
